MaxN

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
MNCB280_L425.avi	  43876	  24.4000			MNCB280	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	No
MNCB280_L425.avi	   5937	   3.3016			MNCB280	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	2	No
MNCB280_L425.avi	  24675	  13.7221			MNCB280	Molly											Lethrinidae	Lethrinus	variegatus	37351014	1	No
MNCB280_L425.avi	  64998	  36.1461			MNCB280	Molly											Lutjanidae	Symphorus	nematophorus	37346017	1	No
MNCB280_L425.avi	   7711	   4.2882			MNCB280	Molly											Mullidae	Parupeneus	barberinoides	37355021	7	No
MNCB280_L425.avi	  57506	  31.9798			MNCB280	Molly											Mullidae	Parupeneus	indicus	37355005	2	No
MNCB280_L425.avi	  47564	  26.4509			MNCB280	Molly											Nemipteridae	Pentapodus	emeryii	37347027	3	Yes
MNCB280_L425.avi	   9369	   5.2102			MNCB280	Molly											Pomacentridae	Pomacentrus	coelestis	37372111	11	No
MNCB280_L425.avi	  11930	   6.6344			MNCB280	Molly											Serranidae	Epinephelus	rivulatus	37311022	1	No
MNCB280_L425.avi	  16376				MNCB280	Molly											Labridae	Cheilio	inermis	37384070	1	No
MNCB280_L425.avi	  14527				MNCB280	Molly											Labridae	Choerodon	cauteroma	37384005	1	No
MNCB280_L425.avi	   9815				MNCB280	Molly											Labridae	Choerodon	cyanodus	37384072	1	No
MNCB280_L425.avi	   5730				MNCB280	Molly											Labridae	Choerodon	schoenleinii	37384010	1	No
MNCB280_L425.avi	  10996				MNCB280	Molly											Labridae	Coris	caudimacula	37384092	2	No
MNCB280_L425.avi	   6858				MNCB280	Molly											Labridae	Halichoeres	nebulosus	37384118	3	No
MNCB280_L425.avi	  11149				MNCB280	Molly											Labridae	Labroides	dimidiatus	37384028	1	No
MNCB280_L425.avi	  77478				MNCB280	Molly											Labridae	Stethojulis	strigiventer	37384156	8	No
MNCB280_L425.avi	  43876				MNCB280	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	1	No
MNCB280_L425.avi	   5937				MNCB280	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	2	No
MNCB280_L425.avi	  24675				MNCB280	Molly											Lethrinidae	Lethrinus	variegatus	37351014	1	No
MNCB280_L425.avi	  64998				MNCB280	Molly											Lutjanidae	Symphorus	nematophorus	37346017	1	No
